,제목,가격,강사,URL,카테고리,리뷰
262,생활코딩 - CodeIgniter,무료,생활코딩,https://edu.goorm.io/lecture/13064/생활코딩-codeigniter,웹 프로그래밍 - 프로그래밍,['코드이그나이터 스터디도 다니고 했지만 대부분 실무에서 바로 사용하시는 분들이라 이해가 조금 부족했는데 A to Z 로 너무 쉽게 베우고 있습니다.\n\n감사합니다!']
263,제코베 Code Festival: Python 100제,"₩55,000",제주코딩베이스캠프,https://edu.goorm.io/lecture/12206/제코베-code-festival-python-100제,프로그래밍 - 알고리즘,[]
264,Java 기반 Android 9.0 Pie App 개발 고급,"₩27,500",소프트캠퍼스,https://edu.goorm.io/lecture/13200/java-기반-android-9-0-pie-app-개발-고급,프로그래밍 - 모바일 프로그래밍,[]
265,처음 시작하는 CSS&CSS3 Tutorial,"₩11,000",소프트캠퍼스,https://edu.goorm.io/lecture/13207/처음-시작하는-css-css3-tutorial,웹 프로그래밍 - 프로그래밍,[]
266,[바로실습] 생활코딩 - WEB2: PHP,무료,생활코딩,https://edu.goorm.io/lecture/13048/바로실습-생활코딩-web2-php,웹 프로그래밍 - 프로그래밍,['good!good!']
267,생활코딩 - WEB2: OAuth 2.0,무료,생활코딩,https://edu.goorm.io/lecture/13047/생활코딩-web2-oauth-2-0,웹 프로그래밍 - 프로그래밍,[]
268,[바로실습] 생활코딩 - WEB2: CSS,무료,생활코딩,https://edu.goorm.io/lecture/13045/바로실습-생활코딩-web2-css,웹 프로그래밍 - 프로그래밍,['명확한 해설과 예제. 정말 좋습니다.']
269,한 눈에 끝내는 자바 기초,"₩99,000",구름,https://edu.goorm.io/lecture/12243/한-눈에-끝내는-자바-기초,프로그래밍 - 프로그래밍 기초,['초심자가 보기에 좋은 강의입니다']
270,Java 기반 Android 9.0 Pie App 개발 심화,"₩27,500",소프트캠퍼스,https://edu.goorm.io/lecture/13112/java-기반-android-9-0-pie-app-개발-심화,프로그래밍 - 모바일 프로그래밍,[]
271,Java 기반 Android 9.0 Pie App 개발 기본,"₩27,500",소프트캠퍼스,https://edu.goorm.io/lecture/13082/java-기반-android-9-0-pie-app-개발-기본,프로그래밍 - 모바일 프로그래밍,[]
272,다시 풀어보는 2019 정보올림피아드 1차 대회 기출문제,무료,구름,https://edu.goorm.io/lecture/13095/다시-풀어보는-2019-정보올림피아드-1차-대회-기출문제,프로그래밍 - 알고리즘,['직접 풀어볼 수 있어서 좋아요']
273,생활코딩 - Atom Editor,무료,생활코딩,https://edu.goorm.io/lecture/13044/생활코딩-atom-editor,프로그래밍 - 개발 도구,[' ']
274,생활코딩 - WEB2: Node.js,무료,생활코딩,https://edu.goorm.io/lecture/13049/생활코딩-web2-node-js,웹 프로그래밍 - 프로그래밍,['너무 좋아요 우효www ']
275,생활코딩 - WEB1: HTML & Internet,무료,생활코딩,https://edu.goorm.io/lecture/12959/생활코딩-web1-html-and-internet,웹 프로그래밍 - 프로그래밍,['차분한 설명에 이해가 잘되네요 좋습니다']
276,생활코딩 - WEB2: JavaScript,무료,생활코딩,https://edu.goorm.io/lecture/12906/생활코딩-web2-javascript,웹 프로그래밍 - 프로그래밍,['무료 강의임에도 강의 퀄리티는 좋습니다']
277,Bootstrap 4 & 3 Framework Tutorial,"₩22,000",소프트캠퍼스,https://edu.goorm.io/lecture/13039/bootstrap-4-3-framework-tutorial,웹 프로그래밍 - 프로그래밍,[]
278,Vue.js로 시작하는 SPA 개발,무료,계성혁,https://edu.goorm.io/lecture/13020/vue-js로-시작하는-spa-개발,웹 프로그래밍 - 프로그래밍,['Vue JS 강의 찾고있었는데 기초 강의 정말 좋아요! 무료로 지식을 공유해주셔서 감사드립니다.']
279,대회 문제 풀이로 이해하는 디스크 포렌식 분석,"₩77,000",보안프로젝트,https://edu.goorm.io/lecture/13018/대회-문제-풀이로-이해하는-디스크-포렌식-분석,프로그래밍 - 보안,[]
280,Start Google Angular.js,"₩22,000",소프트캠퍼스,https://edu.goorm.io/lecture/13019/start-google-angular-js,웹 프로그래밍 - 프로그래밍,[]
281,생활코딩 - 리액트 (React),무료,생활코딩,https://edu.goorm.io/lecture/12949/생활코딩-리액트-react,웹 프로그래밍 - 프로그래밍,['ㄹㅇ 핵심만 쏙쏙 뽑아주는 강의 ']
282,생활코딩 - 리눅스(Linux),무료,생활코딩,https://edu.goorm.io/lecture/12984/생활코딩-리눅스-linux,프로그래밍 - 데브옵스,['쉽고 편하게 설명해주셔서 듣기 좋아요']
283,생활코딩 - 크롬 개발자도구,무료,생활코딩,https://edu.goorm.io/lecture/12983/생활코딩-크롬-개발자도구,프로그래밍 - 개발 도구,[]
284,"생활코딩 - 네트워크 개념 잡기 (도메인, 네임서버, HTTPS)",무료,생활코딩,https://edu.goorm.io/lecture/12973/생활코딩-네트워크-개념-잡기-도메인-네임서버-https,프로그래밍 - 기타,['최고입니다.']
285,생활코딩 - 정규표현식,무료,생활코딩,https://edu.goorm.io/lecture/12972/생활코딩-정규표현식,웹 프로그래밍 - 프로그래밍,['아주 흥겹습니다.']
